Threshold Value,Thresh Value b/w 0-1,Sum-of-TSS Value
141,0.55078125,102632512.949638
142,0.5546875,103674986.930356
143,0.55859375,104926481.996598
144,0.5625,105895797.80614
145,0.56640625,106968035.459134
146,0.5703125,108383729.55054
147,0.57421875,109518058.591563
148,0.578125,110839433.913064
149,0.58203125,112302961.52712
150,0.5859375,113936492.901861
151,0.58984375,115587863.27877
152,0.59375,117404493.255806
153,0.59765625,119264907.847621
154,0.6015625,121262385.105706
155,0.60546875,123062461.406767
156,0.609375,125196124.15057
157,0.61328125,127296605.032321
158,0.6171875,129439937.473002
159,0.62109375,131807059.869602
160,0.625,134151820.550077
161,0.62890625,136818720.938042
162,0.6328125,139295595.195247
163,0.63671875,141842275.051714
164,0.640625,144411800.907078
165,0.64453125,147121624.887233
166,0.6484375,150102098.26701
167,0.65234375,152774780.290572
168,0.65625,155265978.653087
169,0.66015625,158232696.921421
170,0.6640625,161082111.613533
171,0.66796875,164050850.172198
172,0.671875,167161385.033423
173,0.67578125,170225481.59377
174,0.6796875,173399681.783286
175,0.68359375,176478879.209023
176,0.6875,179662812.886514
177,0.69140625,182999516.177009
178,0.6953125,186214522.051504
179,0.69921875,189435844.152462
180,0.703125,192747656.609639
181,0.70703125,196399625.626132
182,0.7109375,199882501.479997
183,0.71484375,203738555.978838
184,0.71875,207639859.415832
185,0.72265625,211435395.292788
186,0.7265625,215407059.200655
187,0.73046875,219979433.659966
188,0.734375,224286671.062849
189,0.73828125,229067076.549764
190,0.7421875,233796145.953857
191,0.74609375,238941521.82696
192,0.75,244099558.191289
193,0.75390625,249337054.897869
194,0.7578125,254497738.836692
195,0.76171875,260048349.578419
196,0.765625,265746980.968202
197,0.76953125,271858386.051001
198,0.7734375,277486792.112205
199,0.77734375,283904116.326859
200,0.78125,291002785.262729
201,0.78515625,298076696.269693
202,0.7890625,306477606.935862
203,0.79296875,314903731.22565
204,0.796875,323904403.929464
205,0.80078125,333260329.790721
206,0.8046875,342467234.12124
207,0.80859375,351622069.521764
208,0.8125,360197085.968656
209,0.81640625,368433394.30018
210,0.8203125,376119483.819042
211,0.82421875,383780387.759691
212,0.828125,391851995.216933
213,0.83203125,400409271.531351
214,0.8359375,408551236.741206
215,0.83984375,416819243.935964
216,0.84375,425137708.385863
217,0.84765625,433840109.226371
218,0.8515625,441986872.615984
219,0.85546875,450999175.88033
220,0.859375,459639791.132734
221,0.86328125,467645228.477118
222,0.8671875,475491435.645179
223,0.87109375,482942937.196417
224,0.875,489686611.437775
225,0.87890625,496236404.077631
226,0.8828125,502193786.727215
227,0.88671875,508105503.61052
228,0.890625,514289641.459087
229,0.89453125,520349565.478569
230,0.8984375,526662574.440394
231,0.90234375,532969008.808558
232,0.90625,540016048.156052
233,0.91015625,546677034.228035
234,0.9140625,554183652.119901
235,0.91796875,561675856.01884
236,0.921875,569298697.596556
237,0.92578125,576772467.554259
238,0.9296875,584846012.96864
239,0.93359375,592931731.443279
240,0.9375,601127069.413647
241,0.94140625,609306014.336179
242,0.9453125,617447192.216552
243,0.94921875,625574597.179459
244,0.953125,633265015.390533
245,0.95703125,640424301.717263
246,0.9609375,646931406.632511
247,0.96484375,653300225.83128
248,0.96875,659128313.192087
249,0.97265625,664260341.338444
250,0.9765625,668491888.0545
251,0.98046875,671673523.707964
252,0.984375,674237205.821687
253,0.98828125,676261960.512097
254,0.9921875,677237789.306257
255,0.99609375,677243572.526223
